text,label
"Congratulations! You've won a $1000 gift card. Click here to claim now.",1
"Dear user, your account has been compromised. Please login immediately to secure it.",1
"Verify your bank account information to avoid suspension.",1
"You have received a lottery prize. Send your details urgently.",1
"Update your password using the link below to avoid account lock.",1
"Hi John, can we reschedule our meeting to tomorrow?",0
"Please find attached the report for last quarter.",0
"Reminder: Your dentist appointment is tomorrow at 10 AM.",0
"Let's catch up over coffee this weekend!",0
"Your Amazon order has been shipped and will arrive soon.",0
"Urgent action required! Your email will be deactivated unless verified.",1
"Click this link to reset your password immediately.",1
"Security alert: suspicious login attempt detected.",1
"Meeting agenda for next week is attached.",0
"Happy Birthday! Wishing you a wonderful day.",0
